raw_comp_writers_text,CLEAN_TEXT,split_phrases,preproc_phrases,PREPROC_OUT,"ner_phrases_pos_(0.25, 0.25)","NER_OUT_pos_(0.25, 0.25)",ner_phrases_drop_(0.25),NER_OUT_drop_(0.25),reference_labels,predicted_labels,all_phrases,edit_distance,bleu_score
Hiromu Akita,Hiromu Akita,['Hiromu Akita'],['Hiromu Akita'],Hiromu Akita,['Hiromu Akita'],Hiromu Akita,['Hiromu Akita'],Hiromu Akita,[1],[1],['Hiromu Akita'],0,1.0
Joe Schmoe/Eric Hadley,,"['Joe Schmoe', 'Eric Hadley']","['Joe Schmoe', 'Eric Hadley']",Joe Schmoe/Eric Hadley,"['Joe Schmoe', 'Eric Hadley']",Joe Schmoe/Eric Hadley,"['Joe Schmoe', 'Eric Hadley']",Joe Schmoe/Eric Hadley,"[0, 0]","[1, 1]","['Joe Schmoe', 'Eric Hadley']",22,0.0
喜多條敦志/Lotus Juice,Lotus Juice,"['喜多條敦志', 'Lotus Juice']",['Lotus Juice'],Lotus Juice,['Lotus Juice'],Lotus Juice,[],,[1],[0],['Lotus Juice'],11,0.0
Diego Arnedo/Ricardo Mollo,Diego Arnedo/Ricardo Mollo,"['Diego Arnedo', 'Ricardo Mollo']","['Diego Arnedo', 'Ricardo Mollo']",Diego Arnedo/Ricardo Mollo,"['Diego Arnedo', 'Ricardo Mollo']",Diego Arnedo/Ricardo Mollo,"['Diego Arnedo', 'Ricardo Mollo']",Diego Arnedo/Ricardo Mollo,"[1, 1]","[1, 1]","['Diego Arnedo', 'Ricardo Mollo']",0,1.0
Victor Banda Guerrero,Victor Banda Guerrero,['Victor Banda Guerrero'],['Victor Banda Guerrero'],Victor Banda Guerrero,['Victor Banda Guerrero'],Victor Banda Guerrero,['Victor Banda Guerrero'],Victor Banda Guerrero,[1],[1],['Victor Banda Guerrero'],0,1.0
Вова Антонов,,['Вова Антонов'],[],,[],,[],,[],[],[],0,0.0
Chacha beats Chacha Beats,Chacha Beats,['Chacha beats Chacha Beats'],['Chacha beats Chacha Beats'],Chacha beats Chacha Beats,['Chacha beats Chacha Beats'],Chacha beats Chacha Beats,['Chacha beats Chacha Beats'],Chacha beats Chacha Beats,"[1, 0]","[0, 1]","['Chacha Beats', 'Chacha beats Chacha Beats']",13,0.0
Robert Wells/Lucas Hoge/Andrew Scott Wills/Mel Torme/Keesy Timmer,Robert Wells/Lucas Hoge/Andrew Scott Wills/Mel Torme/Keesy Timmer,"['Robert Wells', 'Lucas Hoge', 'Andrew Scott Wills', 'Mel Torme', 'Keesy Timmer']","['Robert Wells', 'Lucas Hoge', 'Andrew Scott Wills', 'Mel Torme', 'Keesy Timmer']",Robert Wells/Lucas Hoge/Andrew Scott Wills/Mel Torme/Keesy Timmer,"['Robert Wells', 'Lucas Hoge', 'Andrew Scott Wills', 'Mel Torme', 'Keesy Timmer']",Robert Wells/Lucas Hoge/Andrew Scott Wills/Mel Torme/Keesy Timmer,"['Robert Wells', 'Lucas Hoge', 'Andrew Scott Wills', 'Mel Torme', 'Keesy Timmer']",Robert Wells/Lucas Hoge/Andrew Scott Wills/Mel Torme/Keesy Timmer,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['Andrew Scott Wills', 'Lucas Hoge', 'Mel Torme', 'Robert Wells', 'Keesy Timmer']",0,1.0
Enthic/L. Bundil/Petr Lexa/Pam Rabbit,Enthic/L. Bundil/Petr Lexa/Pam Rabbit,"['Enthic', 'L. Bundil', 'Petr Lexa', 'Pam Rabbit']","['Enthic', 'L. Bundil', 'Petr Lexa', 'Pam Rabbit']",Enthic/L. Bundil/Petr Lexa/Pam Rabbit,"['Enthic', 'L. Bundil', 'Petr Lexa', 'Pam Rabbit']",Enthic/L. Bundil/Petr Lexa/Pam Rabbit,"['L. Bundil', 'Petr Lexa', 'Pam Rabbit']",L. Bundil/Petr Lexa/Pam Rabbit,"[1, 1, 1, 1]","[1, 0, 1, 1]","['Pam Rabbit', 'Enthic', 'L. Bundil', 'Petr Lexa']",7,0.7165313105737893
Sant Namdev,,['Sant Namdev'],['Sant Namdev'],Sant Namdev,['Sant Namdev'],Sant Namdev,['Sant Namdev'],Sant Namdev,[0],[1],['Sant Namdev'],11,0.0
Matt Ingram,,['Matt Ingram'],['Matt Ingram'],Matt Ingram,['Matt Ingram'],Matt Ingram,['Matt Ingram'],Matt Ingram,[0],[1],['Matt Ingram'],11,0.0
ZSunder,ZSunder,['ZSunder'],['ZSunder'],ZSunder,['ZSunder'],ZSunder,['ZSunder'],ZSunder,[1],[1],['ZSunder'],0,1.0
Charlotte Elliott & William Bradbury,Charlotte Elliott/ William Bradbury,"['Charlotte Elliott', 'William Bradbury']","['Charlotte Elliott', 'William Bradbury']",Charlotte Elliott/William Bradbury,"['Charlotte Elliott', 'William Bradbury']",Charlotte Elliott/William Bradbury,"['Charlotte Elliott', 'William Bradbury']",Charlotte Elliott/William Bradbury,"[1, 1]","[1, 1]","['William Bradbury', 'Charlotte Elliott']",0,1.0
Sami Vuorensola,Sami Vuorensola,['Sami Vuorensola'],['Sami Vuorensola'],Sami Vuorensola,['Sami Vuorensola'],Sami Vuorensola,['Sami Vuorensola'],Sami Vuorensola,[1],[1],['Sami Vuorensola'],0,1.0
Reinhard Falk/潘源良/Sabine Speisekorn,Reinhard Falk/Sabine Speisekorn,"['Reinhard Falk', '潘源良', 'Sabine Speisekorn']","['Reinhard Falk', 'Sabine Speisekorn']",Reinhard Falk/Sabine Speisekorn,"['Reinhard Falk', 'Sabine Speisekorn']",Reinhard Falk/Sabine Speisekorn,"['Reinhard Falk', 'Sabine Speisekorn']",Reinhard Falk/Sabine Speisekorn,"[1, 1]","[1, 1]","['Sabine Speisekorn', 'Reinhard Falk']",0,1.0
Oilid Dalhoumi/Olivier Ruel/Gideon Oakley Black/Nicholas Michael Black/Simon Delacroix,Oilid Dalhoumi/Olivier Ruel/Gideon Oakley Black/Nicholas Michael Black/Simon Delacroix,"['Oilid Dalhoumi', 'Olivier Ruel', 'Gideon Oakley Black', 'Nicholas Michael Black', 'Simon Delacroix']","['Oilid Dalhoumi', 'Olivier Ruel', 'Gideon Oakley Black', 'Nicholas Michael Black', 'Simon Delacroix']",Oilid Dalhoumi/Olivier Ruel/Gideon Oakley Black/Nicholas Michael Black/Simon Delacroix,"['Oilid Dalhoumi', 'Olivier Ruel', 'Gideon Oakley Black', 'Nicholas Michael Black', 'Simon Delacroix']",Oilid Dalhoumi/Olivier Ruel/Gideon Oakley Black/Nicholas Michael Black/Simon Delacroix,"['Oilid Dalhoumi', 'Olivier Ruel', 'Gideon Oakley Black', 'Nicholas Michael Black', 'Simon Delacroix']",Oilid Dalhoumi/Olivier Ruel/Gideon Oakley Black/Nicholas Michael Black/Simon Delacroix,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]","['Nicholas Michael Black', 'Simon Delacroix', 'Olivier Ruel', 'Gideon Oakley Black', 'Oilid Dalhoumi']",0,1.0
Janszen & Marsh,,"['Janszen', 'Marsh']","['Janszen', 'Marsh']",Janszen/Marsh,"['Janszen', 'Marsh']",Janszen/Marsh,"['Janszen', 'Marsh']",Janszen/Marsh,"[0, 0]","[1, 1]","['Janszen', 'Marsh']",13,0.0
Олег Скобля,,['Олег Скобля'],[],,[],,[],,[],[],[],0,0.0
Magia Sanjuanera,Magia Sanjuanera,['Magia Sanjuanera'],['Magia Sanjuanera'],Magia Sanjuanera,['Magia Sanjuanera'],Magia Sanjuanera,[],,[1],[0],['Magia Sanjuanera'],16,0.0
Stan Webb,Stan Webb,['Stan Webb'],['Stan Webb'],Stan Webb,['Stan Webb'],Stan Webb,['Stan Webb'],Stan Webb,[1],[1],['Stan Webb'],0,1.0
CA BLACKFORD LLOYD,BLACKFORD/LLOYD,['CA BLACKFORD LLOYD'],['BLACKFORD LLOYD'],BLACKFORD LLOYD,['BLACKFORD LLOYD'],BLACKFORD LLOYD,['BLACKFORD LLOYD'],BLACKFORD LLOYD,"[0, 1, 1]","[1, 0, 0]","['BLACKFORD LLOYD', 'BLACKFORD', 'LLOYD']",0,0.0
"Waveshaper,Robert Parker (SWE)",Waveshaper/Robert Parker (SWE),"['Waveshaper', 'Robert Parker', 'SWE']","['Waveshaper', 'Robert Parker', 'SWE']",Waveshaper/Robert Parker/SWE,"['Waveshaper', 'Robert Parker', 'SWE']",Waveshaper/Robert Parker/SWE,"['Robert Parker', 'SWE']",Robert Parker/SWE,"[0, 0, 1, 1]","[1, 1, 0, 0]","['Robert Parker', 'SWE', 'Waveshaper', 'Robert Parker (SWE)']",13,0.0
Fernando Illan/Rosario Flores/Antonio Carmona/Fernando Osorio,Fernando Illan/Rosario Flores/Antonio Carmona/Fernando Osorio,"['Fernando Illan', 'Rosario Flores', 'Antonio Carmona', 'Fernando Osorio']","['Fernando Illan', 'Rosario Flores', 'Antonio Carmona', 'Fernando Osorio']",Fernando Illan/Rosario Flores/Antonio Carmona/Fernando Osorio,"['Fernando Illan', 'Rosario Flores', 'Antonio Carmona', 'Fernando Osorio']",Fernando Illan/Rosario Flores/Antonio Carmona/Fernando Osorio,"['Fernando Illan', 'Rosario Flores', 'Antonio Carmona', 'Fernando Osorio']",Fernando Illan/Rosario Flores/Antonio Carmona/Fernando Osorio,"[1, 1, 1, 1]","[1, 1, 1, 1]","['Fernando Osorio', 'Antonio Carmona', 'Fernando Illan', 'Rosario Flores']",0,1.0
"<Unknown>/Cruz, Anthony",Cruz/Anthony,"['<Unknown>', 'Cruz', 'Anthony']","['Cruz', 'Anthony']",Cruz/Anthony,"['Cruz', 'Anthony']",Cruz/Anthony,"['Cruz', 'Anthony']",Cruz/Anthony,"[1, 1]","[1, 1]","['Cruz', 'Anthony']",0,1.0
SM Nazrul,SM Nazrul,['SM Nazrul'],['SM Nazrul'],SM Nazrul,['SM Nazrul'],SM Nazrul,['SM Nazrul'],SM Nazrul,[1],[1],['SM Nazrul'],0,1.0
Dar Dar,Dar Dar,['Dar Dar'],['Dar Dar'],Dar Dar,['Dar Dar'],Dar Dar,['Dar Dar'],Dar Dar,[1],[1],['Dar Dar'],0,1.0
菅野よう子,,['菅野よう子'],[],,[],,[],,[],[],[],0,0.0
Edgar Silva,Edgar Silva,['Edgar Silva'],['Edgar Silva'],Edgar Silva,['Edgar Silva'],Edgar Silva,['Edgar Silva'],Edgar Silva,[1],[1],['Edgar Silva'],0,1.0
Bunty Walia/Sohail Khan/Sudhakar Sharma/Himesh Reshammiya/Tips Industries Ltd.,Bunty Walia/Sohail Khan/Sudhakar Sharma/Himesh Reshammiya,"['Bunty Walia', 'Sohail Khan', 'Sudhakar Sharma', 'Himesh Reshammiya', 'Tips Industries Ltd.']","['Bunty Walia', 'Sohail Khan', 'Sudhakar Sharma', 'Himesh Reshammiya', 'Tips Industries Ltd.']",Bunty Walia/Sohail Khan/Sudhakar Sharma/Himesh Reshammiya/Tips Industries Ltd.,"['Bunty Walia', 'Sohail Khan', 'Sudhakar Sharma', 'Himesh Reshammiya', 'Tips Industries Ltd.']",Bunty Walia/Sohail Khan/Sudhakar Sharma/Himesh Reshammiya/Tips Industries Ltd.,"['Bunty Walia', 'Sohail Khan', 'Sudhakar Sharma', 'Himesh Reshammiya']",Bunty Walia/Sohail Khan/Sudhakar Sharma/Himesh Reshammiya,"[1, 1, 1, 1]","[1, 1, 1, 1]","['Sudhakar Sharma', 'Bunty Walia', 'Sohail Khan', 'Himesh Reshammiya']",0,1.0
Naomi Key,Naomi Key,['Naomi Key'],['Naomi Key'],Naomi Key,['Naomi Key'],Naomi Key,['Naomi Key'],Naomi Key,[1],[1],['Naomi Key'],0,1.0
"RJmrLA,Jay 305,DJ Swish",RJmrLA/Jay 305/DJ Swish,"['RJmrLA', 'Jay 305', 'DJ Swish']","['RJmrLA', 'Jay 305', 'DJ Swish']",RJmrLA/Jay 305/DJ Swish,"['RJmrLA', 'Jay 305', 'DJ Swish']",RJmrLA/Jay 305/DJ Swish,"['RJmrLA', 'Jay 305']",RJmrLA/Jay 305,"[1, 1, 1]","[1, 1, 0]","['RJmrLA', 'Jay 305', 'DJ Swish']",9,0.6065306597126334
Tito Rodríguez/Universal Music MGB Songs,Tito Rodríguez,"['Tito Rodríguez', 'Universal Music MGB Songs']","['Tito Rodríguez', 'MGB Songs']",Tito Rodríguez/MGB Songs,"['Tito Rodríguez', 'MGB Songs']",Tito Rodríguez/MGB Songs,['Tito Rodríguez'],Tito Rodríguez,[1],[1],['Tito Rodríguez'],0,1.0
GROOVE SURFERS/鈴木計見,GROOVE SURFERS,"['GROOVE SURFERS', '鈴木計見']",['GROOVE SURFERS'],GROOVE SURFERS,['GROOVE SURFERS'],GROOVE SURFERS,[],,[1],[0],['GROOVE SURFERS'],14,0.0
Avinash-Vishwajeet/Ashwini Shende,Avinash-Vishwajeet/Ashwini Shende,"['Avinash-Vishwajeet', 'Ashwini Shende']","['Avinash-Vishwajeet', 'Ashwini Shende']",Avinash-Vishwajeet/Ashwini Shende,"['Avinash-Vishwajeet', 'Ashwini Shende']",Avinash-Vishwajeet/Ashwini Shende,"['Avinash-Vishwajeet', 'Ashwini Shende']",Avinash-Vishwajeet/Ashwini Shende,"[1, 1]","[1, 1]","['Avinash-Vishwajeet', 'Ashwini Shende']",0,1.0
Deborah Gibson/Debbie Gibson/Evan Rogers,Deborah Gibson/Debbie Gibson/Evan Rogers,"['Deborah Gibson', 'Debbie Gibson', 'Evan Rogers']","['Deborah Gibson', 'Debbie Gibson', 'Evan Rogers']",Deborah Gibson/Debbie Gibson/Evan Rogers,"['Deborah Gibson', 'Debbie Gibson', 'Evan Rogers']",Deborah Gibson/Debbie Gibson/Evan Rogers,"['Deborah Gibson', 'Debbie Gibson', 'Evan Rogers']",Deborah Gibson/Debbie Gibson/Evan Rogers,"[1, 1, 1]","[1, 1, 1]","['Deborah Gibson', 'Evan Rogers', 'Debbie Gibson']",0,1.0
Peter Bardens/Andrew Latimer/David Hitchcock,Peter Bardens/Andrew Latimer,"['Peter Bardens', 'Andrew Latimer', 'David Hitchcock']","['Peter Bardens', 'Andrew Latimer', 'David Hitchcock']",Peter Bardens/Andrew Latimer/David Hitchcock,"['Peter Bardens', 'Andrew Latimer', 'David Hitchcock']",Peter Bardens/Andrew Latimer/David Hitchcock,"['Peter Bardens', 'Andrew Latimer', 'David Hitchcock']",Peter Bardens/Andrew Latimer/David Hitchcock,"[0, 1, 1]","[1, 1, 1]","['David Hitchcock', 'Peter Bardens', 'Andrew Latimer']",16,0.5773502691896257
Ray Hedges/Pól Ó Braonáin/Ciarán Ó Braonáin/Nick Bracegirdle,,"['Ray Hedges', 'Pól Ó Braonáin', 'Ciarán Ó Braonáin', 'Nick Bracegirdle']","['Ray Hedges', 'Pól Ó Braonáin', 'Ciarán Ó Braonáin', 'Nick Bracegirdle']",Ray Hedges/Pól Ó Braonáin/Ciarán Ó Braonáin/Nick Bracegirdle,"['Ray Hedges', 'Pól Ó Braonáin', 'Ciarán Ó Braonáin', 'Nick Bracegirdle']",Ray Hedges/Pól Ó Braonáin/Ciarán Ó Braonáin/Nick Bracegirdle,"['Ray Hedges', 'Pól Ó Braonáin', 'Ciarán Ó Braonáin', 'Nick Bracegirdle']",Ray Hedges/Pól Ó Braonáin/Ciarán Ó Braonáin/Nick Bracegirdle,"[0, 0, 0, 0]","[1, 1, 1, 1]","['Ciarán Ó Braonáin', 'Pól Ó Braonáin', 'Ray Hedges', 'Nick Bracegirdle']",60,0.0
Nepton Kenneth Hatfield,Nepton Kenneth Hatfield,['Nepton Kenneth Hatfield'],['Nepton Kenneth Hatfield'],Nepton Kenneth Hatfield,['Nepton Kenneth Hatfield'],Nepton Kenneth Hatfield,['Nepton Kenneth Hatfield'],Nepton Kenneth Hatfield,[1],[1],['Nepton Kenneth Hatfield'],0,1.0
Milton Turell,Milton Turell,['Milton Turell'],['Milton Turell'],Milton Turell,['Milton Turell'],Milton Turell,['Milton Turell'],Milton Turell,[1],[1],['Milton Turell'],0,1.0
Leon Bolier/Olivier Heldens,Leon Bolier/Olivier Heldens,"['Leon Bolier', 'Olivier Heldens']","['Leon Bolier', 'Olivier Heldens']",Leon Bolier/Olivier Heldens,"['Leon Bolier', 'Olivier Heldens']",Leon Bolier/Olivier Heldens,"['Leon Bolier', 'Olivier Heldens']",Leon Bolier/Olivier Heldens,"[1, 1]","[1, 1]","['Leon Bolier', 'Olivier Heldens']",0,1.0
"<Unknown>/quiles, anthony",quiles/anthony,"['<Unknown>', 'quiles', 'anthony']","['quiles', 'anthony']",quiles/anthony,"['quiles', 'anthony']",quiles/anthony,[],,"[1, 1]","[0, 0]","['quiles', 'anthony']",14,0.0
Sammy Fain/Paul Francis Webster,Sammy Fain/Paul Francis Webster,"['Sammy Fain', 'Paul Francis Webster']","['Sammy Fain', 'Paul Francis Webster']",Sammy Fain/Paul Francis Webster,"['Sammy Fain', 'Paul Francis Webster']",Sammy Fain/Paul Francis Webster,"['Sammy Fain', 'Paul Francis Webster']",Sammy Fain/Paul Francis Webster,"[1, 1]","[1, 1]","['Sammy Fain', 'Paul Francis Webster']",0,1.0
"Sdot Go,Naz GPG",Sdot Go/Naz GPG,"['Sdot Go', 'Naz GPG']","['Sdot Go', 'Naz GPG']",Sdot Go/Naz GPG,"['Sdot Go', 'Naz GPG']",Sdot Go/Naz GPG,['Naz GPG'],Naz GPG,"[1, 1]","[0, 1]","['Sdot Go', 'Naz GPG']",8,0.11633369384516798
Patty Hill/Musica Mexicana/FIDENCIO VILLANUEVA/Las Mañanitas A Mi Madre,Patty Hill/Musica Mexicana/FIDENCIO VILLANUEVA/Las Mañanitas A Mi Madre,"['Patty Hill', 'Musica Mexicana', 'FIDENCIO VILLANUEVA', 'Las Mañanitas A Mi Madre']","['Patty Hill', 'Musica Mexicana', 'FIDENCIO VILLANUEVA', 'Las Mañanitas A Mi Madre']",Patty Hill/Musica Mexicana/FIDENCIO VILLANUEVA/Las Mañanitas A Mi Madre,"['Patty Hill', 'Musica Mexicana', 'FIDENCIO VILLANUEVA', 'Las Mañanitas A Mi Madre']",Patty Hill/Musica Mexicana/FIDENCIO VILLANUEVA/Las Mañanitas A Mi Madre,['Patty Hill'],Patty Hill,"[1, 1, 1, 1]","[0, 1, 0, 0]","['Musica Mexicana', 'Patty Hill', 'Las Mañanitas A Mi Madre', 'FIDENCIO VILLANUEVA']",61,0.015744053406497194
Second Line Productions,Second Line Productions,['Second Line Productions'],['Second Line Productions'],Second Line Productions,['Second Line Productions'],Second Line Productions,[],,[1],[0],['Second Line Productions'],23,0.0
"Jerry Fogle/Michael ""Flint"" Vujejia/Robert Garven/Tim Baker",,"['Jerry Fogle', 'Michael ""Flint"" Vujejia', 'Robert Garven', 'Tim Baker']","['Jerry Fogle', 'Michael ""Flint"" Vujejia', 'Robert Garven', 'Tim Baker']","Jerry Fogle/Michael ""Flint"" Vujejia/Robert Garven/Tim Baker","['Jerry Fogle', 'Michael ""Flint"" Vujejia', 'Robert Garven', 'Tim Baker']","Jerry Fogle/Michael ""Flint"" Vujejia/Robert Garven/Tim Baker","['Jerry Fogle', 'Michael ""Flint"" Vujejia', 'Robert Garven', 'Tim Baker']","Jerry Fogle/Michael ""Flint"" Vujejia/Robert Garven/Tim Baker","[0, 0, 0, 0]","[1, 1, 1, 1]","['Robert Garven', 'Tim Baker', 'Michael ""Flint"" Vujejia', 'Jerry Fogle']",59,0.0
Eric Mendoza & Christian Moreno,Eric Mendoza/Christian Moreno,"['Eric Mendoza', 'Christian Moreno']","['Eric Mendoza', 'Christian Moreno']",Eric Mendoza/Christian Moreno,"['Eric Mendoza', 'Christian Moreno']",Eric Mendoza/Christian Moreno,"['Eric Mendoza', 'Christian Moreno']",Eric Mendoza/Christian Moreno,"[1, 1]","[1, 1]","['Christian Moreno', 'Eric Mendoza']",0,1.0
Angus Young/Malcolm Young,Angus Young/Malcolm Young,"['Angus Young', 'Malcolm Young']","['Angus Young', 'Malcolm Young']",Angus Young/Malcolm Young,"['Angus Young', 'Malcolm Young']",Angus Young/Malcolm Young,"['Angus Young', 'Malcolm Young']",Angus Young/Malcolm Young,"[1, 1]","[1, 1]","['Malcolm Young', 'Angus Young']",0,1.0
Søren Kragh-Jakobsen,Søren Kragh-Jakobsen,['Søren Kragh-Jakobsen'],['Søren Kragh-Jakobsen'],Søren Kragh-Jakobsen,['Søren Kragh-Jakobsen'],Søren Kragh-Jakobsen,['Søren Kragh-Jakobsen'],Søren Kragh-Jakobsen,[1],[1],['Søren Kragh-Jakobsen'],0,1.0
Nate Dogg/Warren G,Nate Dogg/Warren G,"['Nate Dogg', 'Warren G']","['Nate Dogg', 'Warren G']",Nate Dogg/Warren G,"['Nate Dogg', 'Warren G']",Nate Dogg/Warren G,"['Nate Dogg', 'Warren G']",Nate Dogg/Warren G,"[1, 1]","[1, 1]","['Warren G', 'Nate Dogg']",0,1.0
"Elizabeth Kristina Raatma, Anthony Martinez & Alejandro Jaramillo",Elizabeth Kristina Raatma/Anthony Martinez/Alejandro Jaramillo,"['Elizabeth Kristina Raatma', 'Anthony Martinez', 'Alejandro Jaramillo']","['Elizabeth Kristina Raatma', 'Anthony Martinez', 'Alejandro Jaramillo']",Elizabeth Kristina Raatma/Anthony Martinez/Alejandro Jaramillo,"['Elizabeth Kristina Raatma', 'Anthony Martinez', 'Alejandro Jaramillo']",Elizabeth Kristina Raatma/Anthony Martinez/Alejandro Jaramillo,"['Elizabeth Kristina Raatma', 'Anthony Martinez', 'Alejandro Jaramillo']",Elizabeth Kristina Raatma/Anthony Martinez/Alejandro Jaramillo,"[1, 1, 1]","[1, 1, 1]","['Anthony Martinez', 'Elizabeth Kristina Raatma', 'Alejandro Jaramillo']",0,1.0
Nawab Arzoo/Anu Malik,Nawab Arzoo/Anu Malik,"['Nawab Arzoo', 'Anu Malik']","['Nawab Arzoo', 'Anu Malik']",Nawab Arzoo/Anu Malik,"['Nawab Arzoo', 'Anu Malik']",Nawab Arzoo/Anu Malik,"['Nawab Arzoo', 'Anu Malik']",Nawab Arzoo/Anu Malik,"[1, 1]","[1, 1]","['Nawab Arzoo', 'Anu Malik']",0,1.0
Vinay Pareek/YoungTunez.in,Vinay Pareek,"['Vinay Pareek', 'YoungTunez.in']","['Vinay Pareek', 'YoungTunez.in']",Vinay Pareek/YoungTunez.in,"['Vinay Pareek', 'YoungTunez.in']",Vinay Pareek/YoungTunez.in,['Vinay Pareek'],Vinay Pareek,[1],[1],['Vinay Pareek'],0,1.0
2hunnat_,2hunnat_,['2hunnat_'],['2hunnat'],2hunnat,['2hunnat'],2hunnat,['2hunnat'],2hunnat,"[1, 0]","[0, 1]","['2hunnat_', '2hunnat']",1,0.0
Jamal Grinnage/Sean Price,Jamal Grinnage/Sean Price,"['Jamal Grinnage', 'Sean Price']","['Jamal Grinnage', 'Sean Price']",Jamal Grinnage/Sean Price,"['Jamal Grinnage', 'Sean Price']",Jamal Grinnage/Sean Price,"['Jamal Grinnage', 'Sean Price']",Jamal Grinnage/Sean Price,"[1, 1]","[1, 1]","['Jamal Grinnage', 'Sean Price']",0,1.0
"Mario Sinovcic, Eros Dorian & Mason Lister",Mario Sinovcic/Eros Dorian/Mason Lister,"['Mario Sinovcic', 'Eros Dorian', 'Mason Lister']","['Mario Sinovcic', 'Eros Dorian', 'Mason Lister']",Mario Sinovcic/Eros Dorian/Mason Lister,"['Mario Sinovcic', 'Eros Dorian', 'Mason Lister']",Mario Sinovcic/Eros Dorian/Mason Lister,"['Mario Sinovcic', 'Eros Dorian', 'Mason Lister']",Mario Sinovcic/Eros Dorian/Mason Lister,"[1, 1, 1]","[1, 1, 1]","['Mario Sinovcic', 'Mason Lister', 'Eros Dorian']",0,1.0
Goffredo Petrassi/Luigi Dallapiccola,Goffredo Petrassi/Luigi Dallapiccola,"['Goffredo Petrassi', 'Luigi Dallapiccola']","['Goffredo Petrassi', 'Luigi Dallapiccola']",Goffredo Petrassi/Luigi Dallapiccola,"['Goffredo Petrassi', 'Luigi Dallapiccola']",Goffredo Petrassi/Luigi Dallapiccola,"['Goffredo Petrassi', 'Luigi Dallapiccola']",Goffredo Petrassi/Luigi Dallapiccola,"[1, 1]","[1, 1]","['Luigi Dallapiccola', 'Goffredo Petrassi']",0,1.0
Y&J/윤종신/이근호/조PD,,"['Y', 'J', '윤종신', '이근호', '조PD']","['Y', 'J', 'PD']",Y/J/PD,"['Y', 'J', 'PD']",Y/J/PD,['J'],J,[0],[1],['J'],1,0.0
Selivanov Vladimir Jur'evich/Truhin Evgenij Alekseevich,Selivanov Vladimir Jur'evich/Truhin Evgenij Alekseevich,"[""Selivanov Vladimir Jur'evich"", 'Truhin Evgenij Alekseevich']","[""Selivanov Vladimir Jur'evich"", 'Truhin Evgenij Alekseevich']",Selivanov Vladimir Jur'evich/Truhin Evgenij Alekseevich,"[""Selivanov Vladimir Jur'evich"", 'Truhin Evgenij Alekseevich']",Selivanov Vladimir Jur'evich/Truhin Evgenij Alekseevich,"[""Selivanov Vladimir Jur'evich"", 'Truhin Evgenij Alekseevich']",Selivanov Vladimir Jur'evich/Truhin Evgenij Alekseevich,"[1, 1]","[1, 1]","[""Selivanov Vladimir Jur'evich"", 'Truhin Evgenij Alekseevich']",0,1.0
DAMI/Ollounder/LEEZ,,"['DAMI', 'Ollounder', 'LEEZ']","['DAMI', 'Ollounder', 'LEEZ']",DAMI/Ollounder/LEEZ,"['DAMI', 'Ollounder', 'LEEZ']",DAMI/Ollounder/LEEZ,"['Ollounder', 'LEEZ']",Ollounder/LEEZ,"[0, 0]","[1, 1]","['Ollounder', 'LEEZ']",14,0.0
ANTONIO GUIDO VELARDI/FEDERICO OSTE,ANTONIO GUIDO VELARDI/FEDERICO OSTE,"['ANTONIO GUIDO VELARDI', 'FEDERICO OSTE']","['ANTONIO GUIDO VELARDI', 'FEDERICO OSTE']",ANTONIO GUIDO VELARDI/FEDERICO OSTE,"['ANTONIO GUIDO VELARDI', 'FEDERICO OSTE']",ANTONIO GUIDO VELARDI/FEDERICO OSTE,['FEDERICO OSTE'],FEDERICO OSTE,"[1, 1]","[0, 1]","['ANTONIO GUIDO VELARDI', 'FEDERICO OSTE']",22,0.11633369384516798
אביב גפן,,['אביב גפן'],[],,[],,[],,[],[],[],0,0.0
Lewis Richards/Steve Fox/Stan Frasier,Lewis Richards/Steve Fox/Stan Frasier,"['Lewis Richards', 'Steve Fox', 'Stan Frasier']","['Lewis Richards', 'Steve Fox', 'Stan Frasier']",Lewis Richards/Steve Fox/Stan Frasier,"['Lewis Richards', 'Steve Fox', 'Stan Frasier']",Lewis Richards/Steve Fox/Stan Frasier,"['Lewis Richards', 'Steve Fox', 'Stan Frasier']",Lewis Richards/Steve Fox/Stan Frasier,"[1, 1, 1]","[1, 1, 1]","['Steve Fox', 'Stan Frasier', 'Lewis Richards']",0,1.0
Goro Matsui/Koji Kikkawa,Goro Matsui/Koji Kikkawa,"['Goro Matsui', 'Koji Kikkawa']","['Goro Matsui', 'Koji Kikkawa']",Goro Matsui/Koji Kikkawa,"['Goro Matsui', 'Koji Kikkawa']",Goro Matsui/Koji Kikkawa,"['Goro Matsui', 'Koji Kikkawa']",Goro Matsui/Koji Kikkawa,"[1, 1]","[1, 1]","['Koji Kikkawa', 'Goro Matsui']",0,1.0
CRYSTAL YATES,CRYSTAL YATES,['CRYSTAL YATES'],['CRYSTAL YATES'],CRYSTAL YATES,['CRYSTAL YATES'],CRYSTAL YATES,[],,[1],[0],['CRYSTAL YATES'],13,0.0
